text,personality
Sex can be boring if it's in the same position often. For example me and my girlfriend are currently in an environment where we have to creatively use cowgirl and missionary. There isn't enough...,ENTP
"'Dear INTP, I enjoyed our conversation the other day. Esoteric gabbing about the nature of the universe and the idea that every rule and social code being arbitrary constructs created...",INTJ
That's another silly misconception. That approaching is logically is going to be the key to unlocking whatever it is you think you are entitled to. Nobody wants to be approached with BS...,ENTJ
"Science is not perfect. No scientist claims that it is, or that scientific information will not be revised as we discover new things. Rational thinking has been very useful to our society....",INTJ
"'No, I can't draw on my own nails (haha). Those were done by professionals on my nails. And yes, those are all gel. You mean those you posted were done by yourself on your own nails? Awesome!",INFJ
"Probably the Electronic Screen Syndrome. With the advent of technology and social , we all suffer from overstimulation on a daily basis. I'm guilty as well. In the past, I can be happy just...",INFJ
'I tend to build up a collection of things on my desktop that i use frequently and then move them into a folder called 'Everything' from there it get sorted into type and sub type,INTJ
"i ike to collect odd objects, even at work...a lot of people would call it junk but i like to collect it. Old unused software? ill take that off your hands :) i have a bunch of old adobe...",INTJ
"I'm not sure, that's a good question. The distinction between the two is so dependant on perception. To quote Robb Flynn, ''The hate you feel is nothing more, than love you feel to win this war.''",INFJ
Good question! It's tough to say for sure but I loved Winona Ryder as Lydia in Beetlejuice...,INFJ
"I'm in this position where I have to actually let go of the person, due to a various reasons. Unfortunately I'm having trouble mustering enough strength to actually pull through it. Sometimes,...",INTP
'One time my parents were fighting over my dad's affair and my dad pushed my mom. The fall broke her finger. She's pointed a gun at him and made him get on his knees and beg for his life. She's...,INFJ
"I'm gonna talk about what a piece of shit my dad is now. He's an alcoholic and he has some kind of serious mental problem when it comes to complying with the IRS. (In his words, Laws don't apply...",INFJ
"'Fair enough, if that's how you want to look at it. Like I stated before, they were incredibly naive in their comments... However, they think those are things that would help us because those are the...",INTJ
"For myself, MBTI serves as a source of self reflection and an opportunity to better myself. Therefore, when an opportunity to gain insight on what are things that I may be able to improve upon, I...",INTJ
"Thanks for the information. Doesn't interfere with anything I've ever experienced (with INFJs). Plus, your signature is the lyrics from one of my favorite bands (Tool). That song (Reflection) was...",INTP
'some of these both excite and calm me: BUTTS bodies brains community gardens camping camping with dogs hiking with dogs chillin with animals,INFJ
I would hope that no one engages the INTP's baiting and Christianity 101 b.s. ...... That will go nowhere.,INFJ
"'I think we do agree. I personally don't consider myself Alpha, Beta, or Foxtrot (lol at my own joke). People are people. We both agree that having emotions isn't the same as being weak, whiny,...",INFP
"Literature... I'd suggest 'Everyday Zen' by Charlotte Joko Beck. It's a solid introduction into mindfulness meditation, what it means to sit, etc. Ch'an Buddhism isn't exactly the same as Zen but...",INFP
"'I fully believe in the power of being a protector, to give a voice to the voiceless. So in that spirit I present this film, and hope it it recieved in the spirit of compassion. Om Mani Padme Hum ...",INFJ
"Yes, you are quite right. But many times this help has to come from outside the relationship. A partner can be supportive, and helpful but I think getting the right help is critical. Finding a good...",INFJ
"'That's normal, it happens also to me. If I am in high mood, I can act like a 478. Depressed, like a 468. Satisfied and relaxed, 451. But the real type of mine is 458.",INFP
How do they say? (...) in sheep's clothing. That is the key. Nobody will obey to you till you don't give them the chance to obey you without consciously knowing they are obeying you. Be...,INFP
"'Steve Job's was recognized for his striving for efficiency and practicality. His genius is in his systemization of inventions, less so than in invention. This is where claims of Se and Te come from.",INTP
"'It is very annoying to be misinterpreted. Especially with regards to your core, to your intentions and desires. Like when people keep saying that you're in love with somebody for whom you only had...",INFJ
"x93Noble naturesx85 are few and far in betweenx94.Nietzsche, Ecce Homo x93A man who leaves the house in bright, festive clothes needs only one drop of mud splashed from under a wheel, and people all...",INFJ
"'Now I'm interested. But too lazy to go research it, because it's time-consuming :(",ENTJ
"'Still going strong at just over the two year mark. I have made noticeable changes and do not plan on slowing. I have attached my 2 year progress picture, but with my face cropped out, you know to...",ENTJ
"I was having some issues a while back finding a job. Couldn't get a job in the arts and crafts store, which was my ideal. I did get a job interview before, but was not given a call back. I always...",INFP
"'He doesn't want to go on the trip without me, so me staying behind wouldn't be an option for him. I think he really does believe that I'm the one being unreasonable. He still continues to say that...",ENFP
I'm still completely in AWE and I'm AMAZED that he doesn't think twice about leaving one of them and how that will make them feel. He said he wants to tell them that I'm not willing to work extra for...,ENFP
"'Basically, my main questions are : What do you believe in ? What are the values that matter the most to you ?* (Sorry if I tend to be confusing)",INFP
"Hey, This is my second thread today, but I feel like this is important. Well... Every time we try something new, we are scared, which is normal right ? However, we individually react differently...",INFP
"'I think that that can absolutely be true of infjs, and we shamefully have much potential in that department. Not gonna lie, I am guilty of some unwarranted door slams, and maybe it may seem cruel at...",INFJ
"A lot of people here seem to say for themselves that if they door slam someone, there is always a justifiable reason. However, to be honest, for myself I would have to say that that is not always...",INFJ
"'...Is it possible to stop caring about someone entirely? Well I believe it's possible to stop caring about someone entirely. If they never cross your mind anymore, then you'd never bother to...",INFP
"I don't think I fall in love easily. However, I do get infatuated with people easily and fast :crazy: because I start to fantasize a lot after getting to know someone I'm interested in only after a...",INFP
"Love is when other people think that your man is a garbage, idiot, and dumb, ugly, bad, mean in your eyes he is still your trophy",INFJ
'I'm seriously considering marriage to my longtime ENFP girlfriend. But do you think she'll be able to give me a little more space when we are settled down in marriage? My two biggest problems with...,INTP
'Sometimes I wonder that too.. the reason being that INFJ's seem so absractly deep that even being one myself I don't understand them all the time ;D,INFJ
"They no longer become outlandish once they start becoming reality! I think you also have to always remember why you started to make music in the first place, the way it feels or how you make others...",ENFJ
how open you are about your feelings: Very open and honest perhaps a little to open. I try to not share the negative ones but over time they tend to come out to. avoid comfrontation with your...,INFJ
